"","pid","wt","POP","HH","AGE5U","AGE18U","AGE65O","NFAM","NFAMALONE","POV","RACWHITE","RACBLACK","RACASIAN","RACHSPLAT","POV.FAM","POV.NFAM","POV.NFAMALONE"
"527","172378b",11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"528","173104a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"529","173104b",25,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"530","173538",28,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1
"531","175420a",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"532","175420b",23,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"533","175420c",18,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"534","175420d",19,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"535","175604",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"536","176221a",28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"537","176221b",20,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"538","176221c",22,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"539","176814",3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"540","177278a",57,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"541","177278b",76,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"542","177668a",26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"543","177668b",19,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"544","178409a",11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"545","178409b",9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"546","178665a",21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"547","178665b",22,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"548","181084a",20,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"549","181084b",18,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"550","181084c",24,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"551","181457a",18,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"552","181457b",18,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"553","181889",9,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"554","183489",13,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"555","184491a",16,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"556","184491b",15,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"557","184491c",17,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
"558","184606a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"559","184606b",13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"560","184606c",14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"561","184606d",12,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"562","185258a",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"563","185258b",14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"564","185258c",19,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
"565","185345a",12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
