"","GEOID","POP","POPs","HH","HHs","AGE5U","AGE5Us","AGE18U","AGE18Us","AGE65O","AGE65Os","NFAM","NFAMs","NFAMALONE","NFAMALONEs","POV","POVs","RACWHITE","RACWHITEs","RACBLACK","RACBLACKs","RACASIAN","RACASIANs","RACHSPLAT","RACHSPLATs","POV.FAM","POV.FAMs","POV.NFAM","POV.NFAMs","POV.NFAMALONE","POV.NFAMALONEs"
"67","080130122024",1250,226.139817629179,1247,225.531914893617,16,16.6036477613953,34,27.7246303975474,107,37.2113943897943,1093,227.355623100304,178,53.4954407294833,651,224.316109422492,849,150.759878419453,149,74.1641337386018,10,10.3343465045593,64,48.0243161094225,0,6.68693009118541,651,224.316109422492,82,46.8085106382979
"68","080130122031",1094,240.121580547112,1094,240.121580547112,16,17.1618166729399,255,85.610750377431,85,40.6659214597558,518,129.483282674772,232,71.7325227963526,206,89.9696048632219,633,167.781155015198,17,17.0212765957447,56,31.0030395136778,388,194.528875379939,154,81.4589665653495,52,37.6899696048632,15,14.5896656534954
"69","080130122032",2997,328.267477203647,2982,328.267477203647,59,28.8801787725707,500,111.226267584878,338,68.9105413298154,952,154.407294832827,283,72.3404255319149,170,58.9665653495441,1920,168.996960486322,0,6.68693009118541,143,69.3009118541033,818,301.519756838906,66,38.9057750759878,104,47.4164133738602,47,35.8662613981763
"70","080130122033",2072,156.231003039514,2072,156.231003039514,13,13.8756379459129,121,54.8529067755894,395,99.9699698999232,1417,159.270516717325,485,103.343465045593,592,123.404255319149,1770,153.799392097264,0,6.68693009118541,140,65.0455927051672,127,50.4559270516717,71,68.0851063829787,521,107.598784194529,324,89.9696048632219
"114","080130127014",1286,164.133738601824,1212,161.094224924012,78,34.735670825925,108,42.3660670736193,258,57.3010808232121,492,103.343465045593,60,27.9635258358663,52,26.1398176291793,1200,164.133738601824,7,9.72644376899696,0,6.68693009118541,28,20.0607902735562,0,6.68693009118541,52,26.1398176291793,38,21.8844984802432
"115","080130127051",1165,150.151975683891,1165,150.151975683891,20,13.7552686917748,124,51.2840813745334,108,36.5753409276385,507,87.5379939209726,179,37.6899696048632,45,27.9635258358663,829,105.16717325228,26,19.4528875379939,7,7.29483282674772,279,132.522796352584,0,6.68693009118541,45,27.9635258358663,45,27.9635258358663
"116","080130127052",2128,155.623100303951,2128,155.623100303951,84,34.0099713816398,293,64.0061249274887,176,35.1376194932971,983,114.893617021277,238,50.4559270516717,200,72.3404255319149,1824,144.072948328267,25,13.9817629179331,88,43.161094224924,110,43.7689969604863,88,51.063829787234,112,56.5349544072948,17,12.1580547112462
"117","080130127053",656,120.9726443769,656,120.9726443769,8,9.89593957209709,133,40.8246404629321,49,24.0870671807404,116,59.5744680851064,15,10.3343465045593,54,24.3161094224924,563,111.854103343465,0,6.68693009118541,43,23.7082066869301,19,18.2370820668693,54,24.3161094224924,0,6.68693009118541,0,6.68693009118541
"118","080130127071",1599,204.255319148936,915,94.2249240121581,49,16.7697437375486,307,52.1203482781085,100,24.8348914478,159,35.258358662614,75,23.1003039513678,223,79.6352583586626,1121,186.626139817629,14,16.4133738601824,19,16.4133738601824,404,103.343465045593,194,80.2431610942249,29,13.3738601823708,21,11.5501519756839
"119","080130127072",890,86.9300911854103,890,86.9300911854103,35,17.8789558296082,208,38.3894307692327,180,30.8716448038775,62,20.0607902735562,15,7.29483282674772,26,23.7082066869301,792,86.9300911854103,6,4.86322188449848,42,25.531914893617,0,6.68693009118541,26,23.7082066869301,0,6.68693009118541,0,6.68693009118541
